listing_type,address,price,unit_square_foot,other_info,raw_price_per_square_foot,formatted_price_per_square_foot
 For Sale,"30423 Canwood St, Agoura Hills, CA 91301, ","$325,700",846 SF Unit,"1 Unit Available, ",1071.3815789473683,$1071.38
 For Sale,"30423 Canwood St, Agoura Hills, CA 91301, ","$440,000","1,088 SF Unit","1 Unit Available, ",1447.3684210526317,$1447.37
 For Sale,"31194 La Baya Dr, Westlake Village, CA 91362, ","$580,000","1,473 SF Unit","1 Unit Available, ",1864.951768488746,$1864.95
 For Sale,"30200 Agoura Rd, Agoura Hills, CA 91301, ","$1,020,000","1,630 SF Unit","1 Unit Available, ",3377.4834437086092,$3377.48
 For Sale,"5012 Chesebro Rd, Bldg 2, Agoura Hills, CA 91301, ","$3,382,500","9,020 SF Office Building","Built in 2007, ",6751.497005988024,$6751.50
 For Sale,"28434 Roadside Dr, Agoura Hills, CA 91301, ","$2,490,000","2,172 SF Retail Building","Built in 1970, ",8767.605633802817,$8767.61
 For Sale,"29209 Canwood St, Phase III, Agoura Hills, CA 91301, ","$2,600,000","21,436 SF Office Building","Built in 2008, ",8904.109589041096,$8904.11
 For Sale,"29575 Canwood St, Building A, Agoura Hills, CA 91301, ","$2,976,770","3,326 SF Office Building","Built in 2025, ",10090.745762711864,$10090.75
 For Sale,"29647-29653 Agoura Rd, Bldg D, Agoura Hills, CA 91301, ","$3,400,000","5,906 SF Unit","1 Unit Available, ",11486.486486486487,$11486.49
 For Sale,"31351 Via Colinas, Davis & LeGate Professional Bldg, Westlake Village, CA 91362, ","$4,050,000","13,945 SF Office Building","Built in 1985, ",12939.297124600638,$12939.30
 For Sale,"29673-29679 Agoura Rd, Bldg B, Agoura Hills, CA 91301, ","$4,560,000","8,153 SF Unit","1 Unit Available, ",15405.405405405405,$15405.41
 For Sale,"29229 Canwood St, Phase 1, Agoura Hills, CA 91301, ","$7,335,215","46,882 SF Office Building","Built in 2000, ",25120.59931506849,$25120.60
 For Sale,"29219 Canwood St, Phase II, Agoura Hills, CA 91301, ","$7,335,370","47,454 SF Office Building","Built in 2001, ",25121.130136986303,$25121.13
 For Sale,"28610 Canwood St, Value Add Showroom Retail 101 Fwy Accessible, Agoura Hills, CA 91301, ","$8,500,000","30,891 SF Retail Building","Built in 2000, ",29720.27972027972,$29720.28
 For Sale,"Malibu Dr, Malibou Lake, Agoura Hills, CA 91301, ","$199,000",,"1 Commercial Lot, 0.12 AC Lot, ",0.0,NA
 For Sale,"29219-29229 Canwood Street, ","$14,710,585",,"2 Office Properties, ",0.0,NA
Auction,"100% Leased, Single-Tenant Flex on 3.3 Acres, 62,282 SF Flex, Westlake Village, CA 91361, AUCTION ON SEPTEMBER 10, 2024, 25, d :, 08, h :, 02, m :, 47, s, View Documents, 10-minutes SE of Thousand Oaks, California, Income-generating and occupied until 2027, Starting bid $4,200,000, ",,,,0.0,NA
 For Sale,"31111 Agoura Rd, West Bldg, Westlake Village, CA 91361, 64,146 SF Office Building, Built in 2001, 4.04 AC Lot, ",,,,0.0,NA
 For Sale,"Agoura Gateway Center, ","$32,500,000",,"7.61% Cap Rate, 3 Retail Properties, ",0.0,NA
 For Sale,"East of Cornell Road / South of Agoura Road, Waring Ranch Estates, Agoura Hills, CA 91301, 1 Residential Income Lot, 56.20 AC Lot, ",,,,0.0,NA
